"Город";"Куда";"до";"в(где)";"Поддомены";"Транспортная компания 1 ";"Адрес "
"Абакан";"Абакан";"Абакана";"Абакане";"abakan";"Деловые Линии";"Заводская ул., 1В"
"Барнаул";"Барнаул";"Барнаула";"Барнауле";"barnaul";"Деловые Линии";"Балтийская ул, 84"
"Белгород";"Белгород";"Белгорода";"Белгороде";"belgorod";"Деловые Линии";"Коммунальная ул., 18"
"Бийск";"Бийск";"Бийска";"Бийске";"biysk";"Деловые Линии";"Шадрина ул., 64"
"Благовещенск";"Благовещенск";"Благовещенска";"Благовещенске";"Blagoveschensk";"Деловые Линии";"Студенческая ул., 15"
"Брянск";"Брянск";"Брянска";"Брянске";"briansk";"Деловые Линии";"Бурова ул., 20"
"Владивосток";"Владивосток";"Владивостока";"Владивостоке";"Vladivostok";"Деловые Линии";"Посадская ул., 20 (въезд со Снеговой ул.)"
"Владимир";"Владимир";"Владимира";"Владимире";"vladimir";"Деловые Линии";"Куйбышева ул., 4"
"Волгоград";"Волгоград";"Волгограда";"Волгограде";"volgograd";"Деловые Линии";"Гумрак, Моторная ул., 9а"
"Вологда";"Вологду";"Вологды";"Вологде";"vologda";"Деловые Линии";"Северная ул., 27"
"Воронеж";"Воронеж";"Воронежа";"Воронеже";"voronezh";"Деловые Линии";"Торпедо ул., 45в"
"Екатеринбург";"Екатеринбург";"Екатеринбурга";"Екатеринбурге";"ekb";"Деловые Линии";"Черняховского ул., 86/7"
"Златоуст";"Златоуст";"Златоуста";"Златоусте";"zlatoust";"КИТ";"Таганайская, 204/5"
"Иваново";"Иваново";"Иванова";"Иванове";"ivanovo";"Деловые Линии";"Суздальская ул., 16а"
"Ижевск";"Ижевск";"Ижевска";"Ижевске";"izhevsk";"Деловые Линии";"Маяковского ул., 35"
"Йошкар-Ола";"Йошкар-Олу";"Йошкар-Олы";"Йошкар-Оле";"yoshkarola";"Деловые Линии";"Строителей ул., 76а"
"Иркутск";"Иркутск";"Иркутска";"Иркутске";"irkutsk";"Деловые Линии";"Набережная Иркута ул., 1/1"
"Казань";"Казань";"Казани";"Казани";"kazan";"Деловые Линии";"Аделя Кутуя ул., 151"
"Калининград";"Калининград";"Калининграда";"Калининграде";"kaliningrad";"Деловые Линии";"Московский пр., 184"
"Калуга";"Калугу";"Калуги";"Калуге";"kaluga";"Деловые Линии";"Грабцевское ш.,107"
"Кемерово";"Кемерово";"Кемерова";"Кемерове";"kemerovo";"Деловые Линии";"Тухачевского ул., 60"
"Киров";"Киров";"Кирова";"Кирове";"kirov";"Деловые Линии";"Щорса ул., 105"
"Кострома";"Кострому";"Костромы";"Костроме";"kostroma";"Деловые Линии";"Мира пр., 116"
"Краснодар";"Краснодар";"Краснодара";"Краснодаре";"krasnodar";"Деловые Линии";"А. Покрышкина ул., 2/4"
"Красноярск";"Красноярск";"Красноярска";"Красноярске";"krasnoyarsk";"Деловые Линии";"Северное ш., 17"
"Курск";"Курск";"Курска";"Курске";"kursk";"Деловые Линии";"50 лет Октября ул., 179 в1"
"Липецк";"Липецк";"Липецка";"Липецке";"lipetsk";"Деловые Линии";"Трубный проезд, 17б"
